1|Superclass|Basic Domains|C0033|
1.1|Class|Leucine zipper factors (bZIP)|C0008|
1.1.1|Family|AP-1(-like) components||
1.1.1.1|Subfamily|Jun||
1.1.1.1.1||XBP-1|T00902|END
1.1.1.1.2||v-Jun|T00893|END
1.1.1.1.3||c-Jun|T00131;T00132;T00133;T00134;T00135;T01976;T02830|END
1.1.1.1.4||JunB|T00436;T01977|END
1.1.1.1.5||JunD|T00437;T01978;T02196|END
1.1.1.1.6||dJRA||
1.1.1.2|Subfamily|Fos||
1.1.1.2.1||v-Fos|T00888;T01452;T01453|END
1.1.1.2.2||c-Fos|T00122;T00123;T00124;T00125;T02205|END
1.1.1.2.3||FosB||
1.1.1.2.3.1||FosB full length|T00291;T05984;T05985|END
1.1.1.2.3.2||deltaFosB|T02198;T05987;T05989|END
1.1.1.2.4||Fra-1|T00292;T01208|END
1.1.1.2.5||Fra-2|T01990;T01991|END
1.1.1.2.6||dFRA|T01997|END
1.1.1.2.7||LRF-1|T01095|END
1.1.1.3|Subfamily|Maf||
1.1.1.3.1||v-Maf|T01430|END
1.1.1.3.2||c-Maf|T01431;T01432|
1.1.1.3.3||MafB|T01433|END
1.1.1.3.4||MafK|T01434;T01435|END
1.1.1.3.5||MafF|T01436|END
1.1.1.3.6||MafG|T01437|END
1.1.1.3.7||NRL|T01082;T01438|END
1.1.1.3.8||kreisler|T01439|END
1.1.1.4|Subfamily|NF-E2||
1.1.1.4.1||NF-E2 p45|T01440;T01441|
1.1.1.4.1.1||aNF-E2||END
1.1.1.4.1.2||fNF-E2||END
1.1.1.4.2||Nrf1||
1.1.1.4.2.1||Nrf1 long form|T01442|END
1.1.1.4.2.2||Nrf1 short form|T01599|END
1.1.1.4.3||Nrf2|T01443|END
1.1.1.4.4||ECH|T01598|END
1.1.1.4.5||Cnc|T01998|END
1.1.1.5|Subfamily|fungal AP-1-like factors||
1.1.1.5.1||GCN4|T00321|END
1.1.1.5.2||CPC1|T00160|END
1.1.1.5.3||yAP-1|T00028|END
1.1.1.5.4||yAP-2|T01293|END
1.1.1.5.5||Pap1+|T00676|END
1.1.1.6|Subfamily|CRE-BP/ATF||
1.1.1.6.1||CREB-2|T01303|END
1.1.1.6.2||ATF-3||
1.1.1.6.2.1||ATF-3|T01313|END
1.1.1.6.2.2||ATF-3DeltaZip|T01325|END
1.1.1.6.3||CRE-BP||
1.1.1.6.3.1||CRE-BP1|T00167|END
1.1.1.6.3.2||CRE-BP2|T01017|END
1.1.1.6.3.3||CRE-BP3||END
1.1.1.6.4||CRE-BPa|T01308|END
1.1.1.6.5||ATF-a||
1.1.1.6.5.1||ATF-a|T00052|END
1.1.1.6.5.2||ATF-aDelta|T00053|END
1.1.1.6.6||yATF|T00049;T00050|END
1.1.1.0|Subfamily|Others||
1.1.1.0.1||Zta|T00923|END
1.1.1.0.2||CYS3|T00180|END
1.1.2|Family|CREB||SKIP
1.1.2.0.1||CREB||
1.1.2.0.1.1||CREB-341|T00163;T00164;T00989|END
1.1.2.0.1.2||CREB-327|T00165|END
1.1.2.0.1.3||CREBbeta|T02361|END
1.1.2.0.2||ATF-1|T00968;T01304|END
1.1.2.0.3||CREM||
1.1.2.0.3.1||CREMalpha|T01314|END
1.1.2.0.3.2||CREMbeta|T01315|END
1.1.2.0.3.3||CREMgamma|T01316|END
1.1.2.0.3.4||CREMepsilon|T01317|END
1.1.2.0.3.5||CREMtau|T01309;T01919|END
1.1.2.0.3.6||CREMtaualpha|T01602|END
1.1.2.0.3.7||CREMtau1|T02108|END
1.1.2.0.3.8||CREMtau2|T02109|END
1.1.2.0.3.9||CREMdeltaC-F|T01601|END
1.1.2.0.3.10||CREMdeltaC-G|T01600|END
1.1.2.0.3.11||S-CREM|T01310|END
1.1.2.0.3.12||ICER-I|T01321|END
1.1.2.0.3.13||ICER-Igamma|T01322|END
1.1.2.0.3.14||ICER-II|T01323;T02363|END
1.1.2.0.3.15||ICER-IIgamma|T01324;T02364|END
1.1.2.0.4||BBF-2|T01603|END
1.1.2.0.5||dCREB2||
1.1.2.0.5.1||dCREB2-a|T01604|END
1.1.2.0.5.2||dCREB2-b||END
1.1.2.0.5.3||dCREB2-c||END
1.1.2.0.5.4||dCREB2-d||END
1.1.2.0.5.5||dCREB2-q||END
1.1.2.0.5.6||dCREB2-r||END
1.1.2.0.5.7||dCREB2-s||END
1.1.2.0.6||SKO1|T01306|
1.1.2.0.7||HAC1|T02039|END
1.1.2.0.8||Pcr1|T01687|END
1.1.3|Family|C/EBP-like factors||SKIP
1.1.3.0.1||C/EBPalpha||
1.1.3.0.1.1||C/EBPalpha|T00104;T00105;T00108|END
1.1.3.0.1.2||p30C/EBPalpha|T02025;T02026;T02027|END
1.1.3.0.1.3||p20C/EBPalpha|T02359|END
1.1.3.0.2||C/EBPbeta||
1.1.3.0.2.1||C/EBPbeta|T00017;T00459;T00581|END
1.1.3.0.2.2||p34C/EBPbeta||END
1.1.3.0.2.3||LIP|T01420|END
1.1.3.0.2.4||p20C/EBPbeta|T02360|END
1.1.3.0.3||C/EBPgamma|T00216|END
1.1.3.0.4||C/EBPdelta|T00109;T00583;T01114|END
1.1.3.0.5||C/EBPepsilon|T00171|END
1.1.3.0.6||CHOP-10|T00127;T00299|END
1.1.3.0.7||slbo|T00106|END
1.1.3.0.8||AcC/EBP|T01386|END
1.1.4|Family|bZIP / PAR||SKIP
1.1.4.0.1||DBP|T00183|END
1.1.4.0.2||VBP|T00881|END
1.1.4.0.3||Hlf|T01071|END
1.1.4.0.4||TEF|T01072|END
1.1.5|Family|Plant G-box binding factors||
1.1.5.1|Subfamily|CPRF-2 (&quot;V&quot;)||
1.1.5.1.1||CPRF-2|T01092|END
1.1.5.2|Subfamily|EmBP-1 (&quot;E&quot;)||
1.1.5.2.1||HBP-1a(1)|T01394|END
1.1.5.2.2||EmBP-1a||
1.1.5.2.3||EmBP-1b|T01098|END
1.1.5.2.4||-->GBF1 (maize)|T02463|END
1.1.5.2.5||GBF2|T01079|END
1.1.5.2.6||GBF3|T01080|END
1.1.5.2.7||CPRF-1|T01091|END
1.1.5.2.8||TAF-1|T01090|END
1.1.5.3|Subfamily|HBP-1a (&quot;Q&quot;)||
1.1.5.3.1||HBP-1a|T00937|END
1.1.5.3.2||HBP-1a(c14)|T01395|END
1.1.5.3.3||GBF9||
1.1.5.3.4||GBF1 (A.t., G.m.)|T01078|END
1.1.5.3.5||GBF4||
1.1.5.3.6||GBF12||
1.1.5.3.7||CPRF-3|T01093|END
1.1.5.4|Subfamily|TGA1a (&quot;L/M&quot;)||
1.1.5.4.1||TGA1a|T00829|END
1.1.5.4.2||HBP-1b/OBF3.1|T00938;T02662|END
1.1.5.4.3||HBP-1b(c1)|T01393|END
1.1.5.4.5||OBF3.2|T02663|END
1.1.5.4.6||OBF4|T02659|END
1.1.5.4.7||OBF5|T02661|END
1.1.5.5|Subfamily|TGA1b (&quot;R&quot;)||
1.1.5.5.1||TGA1b|T00830|END
1.1.5.5.2||O2|T00668|END
1.1.6|Family|ZIP only|C0009|SKIP
1.1.6.0.1||SWI6|T01013|END
1.1.6.0.2||SWI4|T00775|END
1.1.6.0.3||STE4|T02035|END
1.1.6.0.4||IREBF-1|T00421|END
1.1.6.0.5||GCF|T00320|END
1.1.0|Family|Other bZIP factors||SKIP
1.1.0.0.1||Giant|T00328|END
1.1.0.0.2||OPI1||
1.2|Class|Helix-loop-helix factors (bHLH)|C0010|
1.2.1|Family|Ubiquitous (class A) factors||SKIP
1.2.1.0.1||E2A||
1.2.1.0.1.1||E12|T00204;T00675;T01786;T01787|END
1.2.1.0.1.2||E47|T00207;T00405;T00674;T01788|END
1.2.1.0.1.3||ITF-1|T00432|END
1.2.1.0.2||E2-2||
1.2.1.0.2.1||ITF-2 / SEF2-1B|T00433|END
1.2.1.0.2.2||SEF2-1A||END
1.2.1.0.3||m3|T01659|END
1.2.1.0.4||HEB / SCBP|T01503|
1.2.1.0.4.1||SCBPgamma|T01497;T01789|END
1.2.1.0.4.2||SCBPalpha|T01496;T01790;T01792;T01793|END
1.2.1.0.4.3||SCBPbeta|T01791|END
1.2.1.0.5||Daughterless|T01034|END
1.2.2|Family|Myogenic transcription factors||SKIP
1.2.2.0.1||MyoD|T00519;T00524;T00526;T01551|END
1.2.2.0.2||Myogenin|T00520;T00528;T01531;T01532;T01533|END
1.2.2.0.3||Myf-5|T00521;T00949;T01534;T01535;T01536|END
1.2.2.0.4||MRF4|T00512;T00522;T01537;T01538;T01539|END
1.2.2.0.5||SUM-1|T00926|END
1.2.2.0.6||CeMyoD|T00110|END
1.2.2.0.7||Nau|T01540|END
1.2.2.0.8||Esc1|T01541|END
1.2.3|Family|Achaete-Scute||SKIP
1.2.3.0.1||Lethal of Scute|T00003|END
1.2.3.0.2||Scute|T00004|END
1.2.3.0.3||Achaete|T00005|END
1.2.3.0.4||Asense|T00006|END
1.2.3.0.6||MASH-1|T00484;T01619;T01620;T01621|END
1.2.3.0.7||MASH-2|T00485|END
1.2.3.0.8||ASH-3a|T01622|END
1.2.3.0.9||ASH-3b|T01623|END
1.2.4|Family|Tal/Twist/Atonal/Hen||
1.2.4.1|Subfamily|Lymphoid factors||
1.2.4.1.1||Tal-1||
1.2.4.1.1.1||p42Tal-1|T00790|END
1.2.4.1.1.2||p39Tal-1||END
1.2.4.1.1.3||p22Tal-1||END
1.2.4.1.2||Tal-2|T01630;T01631|END
1.2.4.1.3||Lyl-1|T01632;T01633|
1.2.4.2|Subfamily|Mesodermal Twist-like factors||
1.2.4.2.1||Twist|T01517|END
1.2.4.2.2||M-Twist|T01635|END
1.2.4.2.3||Dermo-1|T02404|END
1.2.4.2.4||bHLH-EC2|T01637;T01638|END
1.2.4.2.5||Th1|T01569|END
1.2.4.2.6||SGC1|T01605|END
1.2.4.3|Subfamily|HEN||
1.2.4.3.1||HEN1|T01447;T01654;T01655|END
1.2.4.3.2||HEN2|T01656;T01657|END
1.2.4.4|Subfamily|Atonal||
1.2.4.4.1||NeuroD / BETA2|T01624;T01625;T01626;T01634|END
1.2.4.4.2||LIN-32|T01627|END
1.2.4.4.3||Ato|T01628|END
1.2.4.4.4||MATH-1|T01668|END
1.2.4.4.5||MATH-2|T01629|END
1.2.4.5|Subfamily|Pancreatic factors||
1.2.4.5.1||INSAF|T00406;T01188;T01189;T01794|END
1.2.4.5.2||BETA3|T01674|END
1.2.5|Family|Hairy||
1.2.5.1|Subfamily|Hairy||
1.2.5.1.1||Hairy|T00345;T01643|END
1.2.5.1.2||Deadpan|T01647|END
1.2.5.1.3||HES-1|T01648;T01649|END
1.2.5.1.4||HES-2|T01650|END
1.2.5.1.5||HES-3|T01651|END
1.2.5.1.6||HES-5|T01652|END
1.2.5.1.7||Stra13|T02327|END
1.2.5.2|Subfamily|Esp||
1.2.5.2.1||E(spl)m5|T01644|END
1.2.5.2.2||E(spl)m7|T01645|END
1.2.5.2.3||E(spl)m8|T01646|END
1.2.5.3|Subfamily|Fungal regulators||
1.2.5.3.1||PHO4|T00690|END
1.2.5.3.2||NUC-1|T01642|END
1.2.6|Family|Factors with PAS domain||SKIP
1.2.6.0.1||AhR|T00018;T00019;T01795;T02270;T05398;T05414|END
1.2.6.0.2||Arnt (HIF-1beta)|T01346;T01796;T01797;T01798|END
1.2.6.0.3||HIF-1alpha|T01610;T04666;T05461|END
1.2.6.0.4||Sim|T00750|END
1.2.7|Family|INO||SKIP
1.2.7.0.1||INO2|T01241|END
1.2.7.0.2||INO4|T01639|END
1.2.8|Family|HLH domain only|C0011|SKIP
1.2.8.0.1||Emc|T00274|END
1.2.8.0.2||Id1|T00403;T01801|
1.2.8.0.2.1||Id1 (long form)|T01606|END
1.2.8.0.2.2||Id1 (short form)|T01807|END
1.2.8.0.3||Id2|T00404;T01212;T01808|END
1.2.8.0.4||Id3|T00367;T01811|END
1.2.8.0.5||Id4|T01658|END
1.2.8.0.6||Olf-1||
1.2.8.0.6.1||Olf-1|T01040|END
1.2.8.0.6.2||EBF|T01112|END
1.2.0|Family|Other bHLH factors||SKIP
1.2.0.0.1||Delilah|T01653|END
1.2.0.0.2||Lc|T00463|END
1.2.0.0.3||CBF1|T00080|END
1.3|Class|Helix-loop-helix / leucine zipper factors (bHLH-ZIP)|C0012|
1.3.1|Family|Ubiquitous bHLH-ZIP factors||
1.3.1.1|Subfamily|TFE3||
1.3.1.1.1||TFE3||
1.3.1.1.1.1||TFE3-L|T00810;T00811|END
1.3.1.1.1.2||TFE3-S|T00814|END
1.3.1.1.2||TFEB|T00812|END
1.3.1.1.3||TFEC|T01552|END
1.3.1.1.4||Mi|T01553;T01554|
1.3.1.1.4.1||Mi (419 AA)||END
1.3.1.1.4.2||Mi (413 AA)||END
1.3.1.2|Subfamily|USF||
1.3.1.2.1||SpF1|T00871|END
1.3.1.2.2||USF|T00874;T00875;T00877;T02378|END
1.3.1.2.3||USF2||
1.3.1.2.3.1||USF2a|T00878;T01555;T02115|END
1.3.1.2.3.2||USF2b|T02377|END
1.3.1.3|Subfamily|SREBP||
1.3.1.3.1||SREBP-1|T01562|
1.3.1.3.1.1||SREBP-1a|T01556;T01559|END
1.3.1.3.1.2||SREBP-1b|T01557|END
1.3.1.3.1.3||SREBP-1c|T01558|END
1.3.1.3.2||SREBP-2|T01560;T01561|END
1.3.1.4|Subfamily|AP-4||
1.3.1.4.1||AP-4|T00036|END
1.3.2|Family|Cell-cycle controlling factors||
1.3.2.1|Subfamily|Myc||
1.3.2.1.1||c-Myc|T00140;T00141;T00142;T00143|
1.3.2.1.1.1||c-Myc 2 (c, h, m)||END
1.3.2.1.1.2||c-Myc 1 (c, h, m)||END
1.3.2.1.1.3||p64c-Myc (X)||END
1.3.2.1.2||N-Myc|T01445;T02379;T02381;T02382;T02383|END
1.3.2.1.3||L-Myc||
1.3.2.1.3.1||L-Myc|T02385;T02387;T02388|END
1.3.2.1.3.2||L-Myc (206 AA)|T02386|END
1.3.2.1.4||L-Myc2 (X)|T02389|END
1.3.2.1.5||B-Myc|T01563|END
1.3.2.1.6||v-Myc|T00896|END
1.3.2.2|Subfamily|Mad/Max||
1.3.2.2.1||Max|T00523;T05056|
1.3.2.2.1.1||Max2|T01567|END
1.3.2.2.1.2||Max1|T00489|END
1.3.2.2.1.3||DeltaMax|T01566|END
1.3.2.2.2||Mad1|T01565;T02390|END
1.3.2.2.3||Mxi1|T01564|
1.3.2.2.3.1||Mxi1||END
1.3.2.2.3.2||Mxi1-WR||END
1.3.2.2.4||Mad3|T02391|END
1.3.2.2.5||Mad4|T02392|END
1.6|Class|bHSH|C0032|
1.6.1|Family|AP-2||SKIP
1.6.1.0.1||AP-2alpha||
1.6.1.0.1.1||AP-2alphaA / AP-2alpha1|T00033;T00035|END
1.6.1.0.1.2||AP-2alpha2|T02488|END
1.6.1.0.1.3||AP-2alpha3|T02489|END
1.6.1.0.1.4||AP-2alpha4|T02490|END
1.6.1.0.1.5||AP-2alphaB|T02466|END
1.6.1.0.2||AP-2beta|T02467;T02469|END
1.6.1.0.3||AP-2gamma|T02468;T02470|END
2|Superclass|Zinc-coordinating DNA-binding domains|C0034|
2.1|Class|Cys4 zinc finger of nuclear receptor type|C0002|
2.1.1|Family|Steroid hormone receptors (NR3)||
2.1.1.1|Subfamily|Corticoid receptors (NR3C)||
2.1.1.1.1||GR (NR3C1)|T00333;T00334;T00335;T00336;T04685;T05075;T05076;T06225;T06226;T06227;T06228;T06229;T06230;T06231;T06232;T06233;T06234|
2.1.1.1.1.1||GR-alpha |T00337|END
2.1.1.1.1.2||GR-beta|T01920|END
2.1.1.1.2||MR (NR3C2)|T00511;T00513;T06247;T06248;T06249;T06250|END
2.1.1.2|Subfamily|Progesterone receptor (NR3C)||
2.1.1.2.1||PR (NR3C3)|T04680;T04681|
2.1.1.2.1.1||PR-B|T00696;T00697;T00698|END
2.1.1.2.1.2||PR-A|T01660;T01661|END
2.1.1.3|Subfamily|Androgen receptor (NR3C)||
2.1.1.3.1||AR (NR3C4)|T00040;T00041;T00042;T04652;T04653;T04654;T04655;T06147;T06149;T06150;T06151;T06152|
2.1.1.3.1.1||AR-A||END
2.1.1.3.1.2||AR-B||END
2.1.1.4|Subfamily|Estrogen receptor (NR3A)||
2.1.1.4.1||ER-alpha (NR3A1)|T00258;T00259;T00261;T00262;T00263;T00264;T05703;T06181;T06182;T06183;T06188;T06191;T06192;T06193;T06194;T06195;T06196;T06197;T06198;T06199|
2.1.1.4.1.1||ER-alpha1 |T06184;T06187|END
2.1.1.4.1.2||ER-alpha2|T06185|END
2.1.1.4.1.3||ER-alpha3|T06186|END
2.1.1.4.1.4||ER-alpha(L)|T06189|END
2.1.1.4.1.5||ER-alpha(S)|T06190|END
2.1.1.4.2||ER-beta (NR3A2)|T02764;T04651;T06200;T06201;T06202;T06203;T06204;T06205;T06206;T06207;T06208;T06209;T06220;T06222;T06223|
2.1.1.4.2.1||ER-beta1|T04649;T05387;T06173;T06180;T06221|END
2.1.1.4.2.2||ER-beta2|T05388;T06174;T06215|END
2.1.1.4.2.3||ER-beta3|T05389|END
2.1.1.4.2.4||ER-beta4|T05390|END
2.1.1.4.2.5||ER-beta5|T05391|END
2.1.1.4.2.6||ER-beta1-delta3|T06216|END
2.1.1.4.2.7||ER-beta1-delta4|T06219|END
2.1.1.4.2.8||ER-beta2-delta3|T06217|END
2.1.1.4.3||ER-gamma (NR3A3)|T06224|END
2.1.1.5|Subfamily|Estrogen related receptor (NR3B)||
2.1.1.5.1||ERR1 (NR3B1)|T02765;T04849|END
2.1.1.5.2||ERR2 (NR3B2)|T02766;T06175;T06176|END
2.1.1.5.3||ERR3 (NR3B3)||
2.1.1.5.3.1||ERR3-1 (short isoform)|T04647;T04648|END
2.1.1.5.3.2||ERR3 (long isoform)|T04644;T04645|END
2.1.2|Family|Thyroid hormone receptor-like factors (NR0, NR1, NR2, NR4, NR5, NR6)||
2.1.2.1|Subfamily|Thyroid hormone receptors (NR1A)||
2.1.2.1.1||T3R-alpha (NR1A1)|T00838;T00841;T01351;T04771;T04774|
2.1.2.1.1.1||T3R-alpha1|T01152;T01342;T04720;T04772;T04773|END
2.1.2.1.1.2||T3R-alpha2|T01153;T01173;T01343;T04721|END
2.1.2.1.2||T3R-beta (NR1A2)|T00852;T04894|
2.1.2.1.2.1||T3R-beta1|T00851;T00853;T01692;T04722|END
2.1.2.1.2.2||T3R-beta2|T01350;T01693;T04450;T04723|END
2.1.2.2|Subfamily|Retinoic acid receptors (NR1B)||
2.1.2.2.1||RAR-alpha (NR1B1)|T01327;T01356|
2.1.2.2.1.1||RAR-alpha1|T00719;T01335|END
2.1.2.2.1.2||RAR-alpha2|T01336|END
